id,contact,month,day_of_week,duration,campaign
414,telephone,may,tue,576,1
415,telephone,may,tue,180,2
416,telephone,may,tue,90,1
417,telephone,may,tue,505,1
418,telephone,may,tue,245,1
419,telephone,may,tue,186,1
420,telephone,may,tue,208,1
421,telephone,may,tue,623,1
422,telephone,may,tue,180,1
423,telephone,may,tue,496,3
424,telephone,may,tue,118,1
425,telephone,may,tue,102,2
426,telephone,may,tue,342,1
427,telephone,may,tue,225,1
428,telephone,may,tue,185,3
429,telephone,may,tue,276,1
430,telephone,may,tue,87,1
431,telephone,may,tue,744,1
432,telephone,may,tue,262,1
433,telephone,may,tue,271,1
434,telephone,may,tue,141,1
435,telephone,may,tue,198,2
436,telephone,may,tue,150,1
437,telephone,may,tue,241,1
438,telephone,may,tue,196,1
439,telephone,may,tue,149,1
440,telephone,may,tue,264,1
441,telephone,may,tue,246,1
442,telephone,may,tue,309,2
443,telephone,may,tue,140,1
444,telephone,may,tue,175,1
445,telephone,may,tue,136,1
446,telephone,may,tue,1623,1
447,telephone,may,tue,50,1
448,telephone,may,tue,101,1
449,telephone,may,tue,144,1
450,telephone,may,tue,238,1
451,telephone,may,tue,354,1
452,telephone,may,tue,451,2
453,telephone,may,tue,159,1
454,telephone,may,tue,170,1
455,telephone,may,tue,243,1
456,telephone,may,tue,141,2
457,telephone,may,tue,112,1
458,telephone,may,tue,262,2
459,telephone,may,tue,53,1
460,telephone,may,tue,134,1
461,telephone,may,tue,204,4
462,telephone,may,tue,678,1
463,telephone,may,tue,182,1
464,telephone,may,tue,162,1
465,telephone,may,tue,177,1
466,telephone,may,tue,27,1
467,telephone,may,tue,699,3
468,telephone,may,tue,358,1
469,telephone,may,tue,1677,1
470,telephone,may,tue,529,1
471,telephone,may,tue,310,1
472,telephone,may,tue,47,1
473,telephone,may,tue,379,1
474,telephone,may,tue,30,2
475,telephone,may,tue,472,1
476,telephone,may,tue,113,1
477,telephone,may,tue,114,1
478,telephone,may,tue,116,1
479,telephone,may,tue,448,1
480,telephone,may,tue,264,1
481,telephone,may,tue,169,1
482,telephone,may,tue,145,1
483,telephone,may,tue,288,1
484,telephone,may,tue,381,1
485,telephone,may,tue,176,2
486,telephone,may,tue,215,1
487,telephone,may,tue,278,1
488,telephone,may,tue,188,2
489,telephone,may,tue,174,2
490,telephone,may,tue,226,2
491,telephone,may,tue,111,2
492,telephone,may,tue,157,2
493,telephone,may,tue,46,1
494,telephone,may,tue,49,1
495,telephone,may,tue,374,1
496,telephone,may,tue,349,1
497,telephone,may,tue,325,1
498,telephone,may,tue,233,2
499,telephone,may,tue,531,1
500,telephone,may,tue,153,1
501,telephone,may,tue,80,1
502,telephone,may,tue,198,1
503,telephone,may,tue,568,1
504,telephone,may,tue,918,1
505,telephone,may,tue,82,1
506,telephone,may,tue,198,3
507,telephone,may,tue,211,1
508,telephone,may,tue,120,1
509,telephone,may,tue,269,1
510,telephone,may,tue,128,1
511,telephone,may,tue,166,2
512,telephone,may,tue,211,1
513,telephone,may,tue,369,1
514,telephone,may,tue,91,1
515,telephone,may,tue,267,2
516,telephone,may,tue,198,1
517,telephone,may,tue,371,2
518,telephone,may,tue,288,2
519,telephone,may,tue,221,1
520,telephone,may,tue,427,1
521,telephone,may,tue,310,1
522,telephone,may,tue,158,1
523,telephone,may,tue,198,1
524,telephone,may,tue,145,1
525,telephone,may,tue,247,1
526,telephone,may,tue,102,1
527,telephone,may,tue,179,2
528,telephone,may,tue,73,1
529,telephone,may,tue,263,2
530,telephone,may,tue,342,2
531,telephone,may,tue,41,1
532,telephone,may,tue,13,1
533,telephone,may,tue,79,2
534,telephone,may,tue,358,1
535,telephone,may,tue,162,1
536,telephone,may,tue,150,1
537,telephone,may,tue,26,1
538,telephone,may,tue,250,1
539,telephone,may,tue,792,1
540,telephone,may,tue,146,1
541,telephone,may,tue,440,1
542,telephone,may,tue,289,1
543,telephone,may,tue,242,2
544,telephone,may,tue,123,1
545,telephone,may,tue,161,2
546,telephone,may,tue,268,2
547,telephone,may,tue,259,2
548,telephone,may,tue,26,1
549,telephone,may,tue,153,1
550,telephone,may,tue,424,2
551,telephone,may,tue,375,1
552,telephone,may,tue,179,2
553,telephone,may,tue,383,1
554,telephone,may,tue,440,1
555,telephone,may,tue,195,1
556,telephone,may,tue,1297,3
557,telephone,may,tue,217,1
558,telephone,may,tue,87,1
559,telephone,may,tue,427,1
560,telephone,may,tue,189,1
561,telephone,may,tue,502,1
562,telephone,may,tue,260,1
563,telephone,may,tue,209,1
564,telephone,may,tue,179,1
565,telephone,may,tue,179,1
566,telephone,may,tue,69,1
567,telephone,may,tue,105,2
568,telephone,may,tue,266,3
569,telephone,may,tue,87,2
570,telephone,may,tue,524,2
571,telephone,may,tue,155,2
572,telephone,may,tue,162,2
573,telephone,may,tue,316,4
574,telephone,may,tue,352,2
575,telephone,may,tue,695,3
576,telephone,may,tue,76,4
577,telephone,may,tue,535,2
578,telephone,may,tue,310,2
579,telephone,may,tue,390,3
580,telephone,may,tue,369,1
581,telephone,may,tue,112,2
582,telephone,may,tue,79,1
583,telephone,may,tue,140,2
584,telephone,may,tue,315,1
585,telephone,may,tue,262,2
586,telephone,may,tue,174,2
587,telephone,may,tue,424,2
588,telephone,may,tue,135,1
589,telephone,may,tue,36,5
590,telephone,may,tue,1906,3
591,telephone,may,tue,219,2
592,telephone,may,tue,135,1
593,telephone,may,tue,147,2
594,telephone,may,tue,407,2
595,telephone,may,tue,402,4
596,telephone,may,tue,209,1
597,telephone,may,tue,92,2
598,telephone,may,tue,208,1
599,telephone,may,tue,193,1
600,telephone,may,tue,65,1
601,telephone,may,tue,284,2
602,telephone,may,tue,285,1
603,telephone,may,tue,231,1
604,telephone,may,tue,278,1
605,telephone,may,tue,389,1
606,telephone,may,tue,158,1
607,telephone,may,tue,78,2
608,telephone,may,tue,258,5
609,telephone,may,tue,87,1
610,telephone,may,tue,147,2
611,telephone,may,tue,635,1
612,telephone,may,tue,289,1
613,telephone,may,tue,170,3
614,telephone,may,tue,802,1
615,telephone,may,tue,381,2
616,telephone,may,tue,218,4
617,telephone,may,tue,57,2
618,telephone,may,tue,304,2
619,telephone,may,tue,241,3
620,telephone,may,tue,230,1
621,telephone,may,tue,79,4
622,telephone,may,tue,262,3
623,telephone,may,tue,392,2
624,telephone,may,tue,201,2
625,telephone,may,tue,145,1
626,telephone,may,tue,252,1
627,telephone,may,tue,329,1
628,telephone,may,tue,328,2
629,telephone,may,tue,191,2
630,telephone,may,tue,116,2
631,telephone,may,tue,246,1
632,telephone,may,tue,532,2
633,telephone,may,tue,293,1
634,telephone,may,tue,416,3
635,telephone,may,tue,37,2
636,telephone,may,tue,132,2
637,telephone,may,tue,530,2
638,telephone,may,tue,175,3
639,telephone,may,tue,90,5
640,telephone,may,tue,524,2
641,telephone,may,tue,29,3
642,telephone,may,tue,311,2
643,telephone,may,tue,412,1
644,telephone,may,tue,211,2
645,telephone,may,tue,312,3
646,telephone,may,tue,392,1
647,telephone,may,tue,191,1
648,telephone,may,tue,284,2
649,telephone,may,tue,328,1
650,telephone,may,tue,100,1
651,telephone,may,tue,226,1
652,telephone,may,tue,507,1
653,telephone,may,tue,333,2
654,telephone,may,tue,128,2
655,telephone,may,tue,322,2
656,telephone,may,tue,202,4
657,telephone,may,tue,92,2
658,telephone,may,tue,205,2
659,telephone,may,tue,739,3
660,telephone,may,tue,273,2
661,telephone,may,tue,339,3
662,telephone,may,tue,262,1
663,telephone,may,tue,308,3
664,telephone,may,tue,467,2
665,telephone,may,tue,245,2
666,telephone,may,tue,160,3
667,telephone,may,tue,189,2
668,telephone,may,tue,477,1
669,telephone,may,tue,65,3
670,telephone,may,tue,191,1
671,telephone,may,tue,196,2
672,telephone,may,tue,221,2
673,telephone,may,tue,197,2
674,telephone,may,tue,178,2
675,telephone,may,tue,221,2
676,telephone,may,tue,64,2
677,telephone,may,tue,75,2
678,telephone,may,tue,400,2
679,telephone,may,tue,378,3
680,telephone,may,tue,118,2
681,telephone,may,tue,1597,2
682,telephone,may,tue,346,2
683,telephone,may,tue,107,2
684,telephone,may,tue,60,3
685,telephone,may,tue,276,2
686,telephone,may,tue,176,2
687,telephone,may,tue,390,2
688,telephone,may,tue,251,3
689,telephone,may,tue,716,2
690,telephone,may,tue,189,3
691,telephone,may,tue,125,2
692,telephone,may,tue,234,2
693,telephone,may,tue,79,2
694,telephone,may,tue,13,6
695,telephone,may,tue,296,3
696,telephone,may,tue,114,2
697,telephone,may,tue,283,3
698,telephone,may,tue,109,2
699,telephone,may,tue,132,2
700,telephone,may,tue,144,2
701,telephone,may,tue,121,2
702,telephone,may,tue,95,3
703,telephone,may,tue,31,3
704,telephone,may,tue,112,3
705,telephone,may,tue,161,2
706,telephone,may,tue,87,4
707,telephone,may,tue,593,2
708,telephone,may,tue,99,2
709,telephone,may,tue,198,2
710,telephone,may,tue,285,2
711,telephone,may,tue,190,3
712,telephone,may,tue,172,5
713,telephone,may,tue,178,2
714,telephone,may,tue,174,2
715,telephone,may,tue,631,2
716,telephone,may,tue,152,3
717,telephone,may,tue,176,5
718,telephone,may,tue,32,3
719,telephone,may,tue,1529,2
720,telephone,may,tue,254,2
721,telephone,may,tue,214,2
722,telephone,may,tue,147,3
723,telephone,may,tue,800,4
724,telephone,may,tue,106,2
725,telephone,may,tue,135,2
726,telephone,may,tue,112,4
727,telephone,may,tue,222,2
728,telephone,may,tue,314,3
729,telephone,may,tue,421,2
730,telephone,may,tue,410,2
731,telephone,may,tue,207,3
732,telephone,may,tue,239,2
733,telephone,may,tue,83,4
734,telephone,may,tue,160,3
735,telephone,may,tue,42,3
736,telephone,may,tue,55,2
737,telephone,may,tue,157,2
738,telephone,may,tue,303,3
739,telephone,may,tue,336,3
740,telephone,may,tue,233,2
741,telephone,may,tue,211,2
742,telephone,may,tue,88,5
743,telephone,may,tue,139,2
744,telephone,may,tue,329,3
745,telephone,may,tue,305,2
746,telephone,may,tue,206,2
747,telephone,may,tue,128,2
748,telephone,may,tue,122,3
749,telephone,may,tue,343,3
750,telephone,may,tue,126,2
751,telephone,may,tue,249,3
752,telephone,may,tue,59,3
753,telephone,may,tue,166,3
754,telephone,may,tue,190,3
755,telephone,may,tue,216,2
756,telephone,may,wed,51,3
757,telephone,may,wed,169,3
758,telephone,may,wed,148,3
759,telephone,may,wed,132,3
760,telephone,may,wed,117,3
761,telephone,may,wed,275,4
762,telephone,may,wed,124,2
763,telephone,may,wed,118,3
764,telephone,may,wed,479,2
765,telephone,may,wed,285,3
766,telephone,may,wed,322,2
767,telephone,may,wed,202,2
768,telephone,may,wed,162,2
769,telephone,may,wed,216,3
770,telephone,may,wed,195,2
771,telephone,may,wed,96,2
772,telephone,may,wed,149,2
773,telephone,may,wed,720,2
774,telephone,may,wed,92,2
775,telephone,may,wed,188,2
776,telephone,may,wed,70,2
777,telephone,may,wed,141,3
778,telephone,may,wed,395,2
779,telephone,may,wed,629,2
780,telephone,may,wed,261,3
781,telephone,may,wed,502,1
782,telephone,may,wed,446,1
783,telephone,may,wed,131,3
784,telephone,may,wed,198,3
785,telephone,may,wed,312,1
786,telephone,may,wed,275,6
787,telephone,may,wed,120,2
788,telephone,may,wed,333,4
789,telephone,may,wed,113,1
790,telephone,may,wed,150,1
791,telephone,may,wed,91,1
792,telephone,may,wed,296,1
793,telephone,may,wed,128,3
794,telephone,may,wed,298,1
795,telephone,may,wed,326,1
796,telephone,may,wed,292,1
797,telephone,may,wed,215,1
798,telephone,may,wed,97,1
799,telephone,may,wed,32,1
800,telephone,may,wed,162,1
801,telephone,may,wed,421,1
802,telephone,may,wed,268,1
803,telephone,may,wed,232,1
804,telephone,may,wed,152,3
805,telephone,may,wed,104,2
806,telephone,may,wed,852,1
807,telephone,may,wed,159,2
808,telephone,may,wed,416,2
809,telephone,may,wed,174,1
810,telephone,may,wed,139,1
811,telephone,may,wed,193,1
812,telephone,may,wed,294,1
813,telephone,may,wed,102,1
814,telephone,may,wed,124,1
815,telephone,may,wed,143,1
816,telephone,may,wed,231,1
817,telephone,may,wed,128,1
818,telephone,may,wed,74,1
819,telephone,may,wed,105,2
820,telephone,may,wed,992,1
821,telephone,may,wed,168,1
822,telephone,may,wed,250,1
823,telephone,may,wed,254,1
824,telephone,may,wed,149,1
825,telephone,may,wed,133,2
826,telephone,may,wed,374,1
827,telephone,may,wed,425,6
828,telephone,may,wed,207,1
829,telephone,may,wed,464,1
830,telephone,may,wed,439,1
831,telephone,may,wed,83,3
832,telephone,may,wed,732,2
833,telephone,may,wed,149,1
834,telephone,may,wed,142,1
835,telephone,may,wed,121,1
836,telephone,may,wed,359,1
837,telephone,may,wed,112,1
838,telephone,may,wed,274,4
839,telephone,may,wed,325,2
840,telephone,may,wed,1521,1
841,telephone,may,wed,216,1
842,telephone,may,wed,161,1
843,telephone,may,wed,122,2
844,telephone,may,wed,800,1
845,telephone,may,wed,615,1
846,telephone,may,wed,111,1
847,telephone,may,wed,359,1
848,telephone,may,wed,327,3
849,telephone,may,wed,236,1
850,telephone,may,wed,227,1
851,telephone,may,wed,109,1
852,telephone,may,wed,492,2
853,telephone,may,wed,298,1
854,telephone,may,wed,83,2
855,telephone,may,wed,241,2
856,telephone,may,wed,1138,1
857,telephone,may,wed,131,1
858,telephone,may,wed,123,1
859,telephone,may,wed,125,1
860,telephone,may,wed,295,2
861,telephone,may,wed,287,1
862,telephone,may,wed,109,1
863,telephone,may,wed,140,2
864,telephone,may,wed,52,1
865,telephone,may,wed,233,1
866,telephone,may,wed,254,1
867,telephone,may,wed,255,1
868,telephone,may,wed,126,1
869,telephone,may,wed,184,2
870,telephone,may,wed,591,1
871,telephone,may,wed,294,1
872,telephone,may,wed,285,1
873,telephone,may,wed,173,1
874,telephone,may,wed,336,1
875,telephone,may,wed,344,1
876,telephone,may,wed,786,1
877,telephone,may,wed,153,1
878,telephone,may,wed,99,2
879,telephone,may,wed,243,1
880,telephone,may,wed,260,1
881,telephone,may,wed,164,2
882,telephone,may,wed,255,2
883,telephone,may,wed,47,1
884,telephone,may,wed,110,2
885,telephone,may,wed,463,1
886,telephone,may,wed,192,1
887,telephone,may,wed,388,7
888,telephone,may,wed,221,1
889,telephone,may,wed,25,1
890,telephone,may,wed,256,6
891,telephone,may,wed,104,1
892,telephone,may,wed,283,2
893,telephone,may,wed,448,1
894,telephone,may,wed,127,1
895,telephone,may,wed,378,1
896,telephone,may,wed,67,1
897,telephone,may,wed,221,2
898,telephone,may,wed,150,1
899,telephone,may,wed,144,2
900,telephone,may,wed,296,2
901,telephone,may,wed,161,1
902,telephone,may,wed,401,2
903,telephone,may,wed,435,2
904,telephone,may,wed,388,1
905,telephone,may,wed,245,1
906,telephone,may,wed,143,1
907,telephone,may,wed,423,1
908,telephone,may,wed,231,1
909,telephone,may,wed,181,1
910,telephone,may,wed,107,1
911,telephone,may,wed,227,1
912,telephone,may,wed,69,1
913,telephone,may,wed,799,1
914,telephone,may,wed,109,1
915,telephone,may,wed,127,1
916,telephone,may,wed,45,1
917,telephone,may,wed,120,1
918,telephone,may,wed,68,3
919,telephone,may,wed,180,2
920,telephone,may,wed,112,3
921,telephone,may,wed,444,1
922,telephone,may,wed,246,2
923,telephone,may,wed,148,4
924,telephone,may,wed,223,3
925,telephone,may,wed,566,2
926,telephone,may,wed,274,2
927,telephone,may,wed,49,3
928,telephone,may,wed,97,2
